Address,City-State-Zip,Neighborhood,Bed-bath,Offer-price,Co-owners,Monthly-cost,Tax-savings,Down-payment,Description,Agent,Gallery-url,Success,source_url,source_Address,source_City-State-Zip,source_Neighborhood,source_Bed-bath,source_Offer-price,source_Co-owners,source_Monthly-cost,source_Tax-savings,source_Down-payment,source_Description,source_Agent,source_Gallery-url,,lat,lng
519 Garfield St,"San Francisco, CA, 94132",Neighborhood: Merced Heights,"2 bd, 1 ba","$849,000 ",2,"$1,593 ","$9,212 ","$42,450 ","519 Garfield st offers what everyone searches for in a cosmetic fixer. Solid bones, and a blank slate to put your finishing touches on. 2 Bedrooms and 1 Bath on the main level with ample storage in the vintage wood cabinets in the eat in kitchen. Upgraded dual pane windows, recently changed roof, copper plumbing and wood floors hidden under new carpets make this home a hidden gem to hone to your desire. On the lower level is a bonus workshop room, laundry hook ups with stone dual laundry sink and tall ceilings in the 2 car tandem garage. In the rear of the home a three tiered garden with views of the Pacific Ocean & Marin for garden enthusiasts.","Listing provided by Ben Rojas, Climb Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324362,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/519-Garfield-St-94132/3d7364c4cf010a9dbddf,,,,,,,,,,,,,,37.719536,-122.4675741
2247 45th Ave,"San Francisco, CA, 94116",Neighborhood: Outer Parkside,"2 bd, 1.5 ba","$895,000 ",2,"$1,679 ","$9,711 ","$44,750 ","Outer Parkside. Cozy home with spacious living room, high ceilings fireplace, formal dining room, hardwood floors with inlay.  Kitchen w/ breakfast area and 2 bedrooms 1 bath upstairs.  Downstairs: Bedroom or family room & half bathroom, bonus room, with own entry (City 3R shows permit for downstairs room). 1 car garage w/ lots of room for storage/work area.  Huge, flat back yard. Full of character, period details. Turn into your dream home. Peek-a-boo view of the ocean. Great location, near great schools, churches, transportation and the Judah commercial corridor w/ its shops, restaurants. If you love nature, the zoo, and the beach, this home is for you! You will enjoy leisurely walks in Golden Gate Park and watch the sunsets at the beach.","Listing provided by Francis La Poll, La Poll Realtors",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324267,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2247-45th-Ave-94116/288959a55ebb1c546f9e,,,,,,,,,,,,,,37.7446551,-122.5039959
1884 Bush St,"San Francisco, CA, 94109",Neighborhood: Lower Pacific Heights,"2 bd, 2 ba","$899,000 ",2,"$1,686 + $150 (HOA)","$9,755 ","$44,950 ","Beautiful Victorian flat features spacious 2BD/2BA with a fireplace, including one master suite. Wonderfully kept with sophisticated upgrades. Elegant wide-plank  hardwood floors throughout. Open kitchen fully equipped with state-of-the-art stainless steel appliances, Quartz countertops and backslash, sleek white-themed cabinetry and backslash w/ a spider-burn gas range. Also includes washer and dryer in unit. Two brand new renovated beautiful bathrooms. Great transportation location. Perfectly situated close proximity to the Fillmore Street shopping and dining, Japantown and the Lafayette Park.","Listing provided by Jenny He, Jenny He Realty Associates",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324365,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1884-Bush-St-94109/2ed79b4698ceebfaac4e,,,,,,,,,,,,,,37.7878096,-122.4283142
747 Lyon St #2,"San Francisco, CA, 94115",Neighborhood: North Panhandle,"2 bd, 1 ba","$935,000 ",2,"$1,754 + $248 (HOA)","$10,145 ","$46,750 ","This beautiful 2 bedroom, 1 bath condo is located in a gorgeous 6-unit corner building in one of the hottest neighborhoods in SF-North Panhandle and the Divisadero Corridor. 1907 era, light-filled 1st floor corner condo features period details throughout, spacious living room w/ gas fireplace & marble hearth, wainscot walls, panel moulding, built-ins, box-beamed ceiling & hardwood floors. Updated chef's kitchen w/ marble countertops, stainless appliances & abundant cabinet space opens nicely into the dining room-perfect for entertaining. Also features double-paned windows throughout, in-unit laundry room, exclusive use storage area & shared garden and patio w/ BBQ. Ideal location--close to Panhandle, Alamo Square Park & Golden Gate Park.","Listing provided by Abigail R Picache, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=323493,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/747-Lyon-St-2-94115/8646f53abf67964e4435,,,,,,,,,,,,,,37.7778468,-122.4436402
619 Haight St,"San Francisco, CA, 94117-3304",Neighborhood: Hayes Valley,"2 bd, 2 ba","$949,000 ",2,"$1,780 + $150 (HOA)","$10,297 ","$47,450 ","This ground floor home has no windows facing the street so it offers privacy & quiet. Outside your door is the vibrant Lower Haight; just steps to transit, shopping & dining options galore. With a walk score of 96 and a transit score of 100 this location is hard to beat! Inside is an updated 2 level home with an open kitchen/living/dining room as well as 2 spacious bedrooms and a full bath on the main floor. Downstairs you'll find a generous family room or den with closet and en-suite bath. Both bedrooms & the den face south overlooking the beautifully landscaped backyard. This home does not come with parking, but it does enjoy access to the garage for its exclusive-use washer and dryer, and assigned storage area.","Listing provided by Tim J Gullicksen, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324237,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/619-Haight-St-94117/f2d84a8186f7d3e18ea6,,,,,,,,,,,,,,37.771613,-122.432482
50 Jerrold Ave #409,"San Francisco, CA, 94124",Neighborhood: Hunters Point,"2 bd, 2 ba","$980,800 ",2,"$1,840 + $289 (HOA)","$10,642 ","$49,040 ","Move in today! Private balconies & terraces grace select homes. This home offers Smart home living w/ Nest thermostats & Nest smoke & Carbon Monoxide detectors, Stainless steel Bosch appliances including gas range, dishwasher, refrigerator, & range hood, tiled shower & tub w/striking accent tile in master bathroom, Warm Caesarstone kitchen countertops and much more. Great location. A quick ride will lead you to the Third Street corridor and Dogpatch. From there, downtown is just 15 minutes on the T MUNI line","Listing provided by Bernadette Troncales Weir, Catalina Realty Investments",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324199,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/50-Jerrold-Ave-409-94124/1171b56211e0d64c196f,,,,,,,,,,,,,,37.7277605,-122.3695908
3861 25th St,"San Francisco, CA, 94114",Neighborhood: Noe Valley,"2 bd, 1 ba","$995,000 ",2,"$1,866 + $144 (HOA)","$10,797 ","$49,750 ","Remodeled 2bd/1ba Victorian condo in convenient Noe Valley location - 96 walkscore, two blocks to 24th Street, walk to BART, steps to tech shuttles & Muni  The condo features an open floor plan with a bright living room w/ wood-burning fireplace, attached dining area, and updated kitchen w/ access to garden. Details include high coved ceilings, upgraded light fixtures & window treatment, new flooring throughout, crown molding, wainscoting and a formal entry. Landscaped South-facing garden, shared laundry, leased garage parking at corner of Church & Clipper and easy street parking!","Listing provided by Lamisse Droubi, Compass",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324334,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/3861-25th-St-94114/d117505e6e4a94fcebef,,,,,,,,,,,,,,37.749907,-122.426374
887 47th Ave,"San Francisco, CA, 94121-3207",Neighborhood: Outer Richmond,"2 bd, 1 ba","$998,000 ",2,"$1,872 ","$10,829 ","$49,900 ","Don't miss out on this Marina style home conveniently located near Golden Gate Park, playground, Ocean Beach, school and Safeway shopping. This home features: Living room, formal dining room, updated kitchen with eating area, 1 bedroom, 1 bath and hardwood flooring throughout. Downstairs features: Family room, 2 bedrooms, 1 bath, recess lighting and laminated wood flooring. 1 car parking garage, level backyard with fruit trees....","Listing provided by Michael O Al-Ahwal, Comax Realty, Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324280,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/887-47th-Ave-94121/85cf9b0e2eeba8a2c128,,,,,,,,,,,,,,37.771768,-122.508035
20 Meadowbrook Dr,"San Francisco, CA, 94132",Neighborhood: Lake Shore,"2 bd, 1 ba","$998,000 ",2,"$1,872 ","$10,829 ","$49,900 ","This home was a model home when Lakeshore Plaza was developed as a deluxe neighborhood - and it is still a city home in a suburban setting! Stern Grove is a block away. The Zoo, Lake Merced, Ocean Beach and FOUR shopping areas are nearby. Gracious rooms throughout with refinished Oak parquet & hardwood floors, lots of light. The living room has a corner,wood burning fireplace, huge new  double-paned, tempered front window. There is both a formal dining room AND a charming breakfast room with built-in cabinetry. Two bedrooms overlook the backyard and there is a vintage split bath w/tub & shower.  Very large room down with finished wood paneling and flooring plus Bradbury & Bradbury wallpaper & upholstered benches. 2 car prkng, huge garage!","Listing provided by Deborah Lopez, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324327,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/20-Meadowbrook-Dr-94132/99a7b047a42042f90911,,,,,,,,,,,,,,37.7338025,-122.4843943
1117 Alabama St #A,"San Francisco, CA, 94110",Neighborhood: Inner Mission,"2 bd, 1 ba","$998,000 ",2,"$1,872 + $200 (HOA)","$10,829 ","$49,900 ","Entertain friends or bask in the Mission sunshine on the pvt deck of this beautiful remodeled Top Floor Condominium. Offering a graceful blend of period & contemporary finishes, this unit features an open plan living/dining room w/ high ceilings, wood floors and a gorgeous marble fireplace.  The large remodeled kitchen w/ stainless appls & granite counters opens to a breakfast area w/ vaulted ceilings & sliding doors out to the pvt rear deck.  There are two large bedrooms and a contemporary remodeled bathroom.  The large sunny deck has stairs leading to a landscaped shared garden. Other features: keyless entry, in-unit W/D, double paned windows, custom window blinds, one independent parking, great storage. Fantastic & convenient location!!","Listing provided by Carlos D Cabarcos, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324139,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1117-Alabama-St-A-94110/ec718460ae5da718a32c,,,,,,,,,,,,,,37.753741,-122.410786
1237 Chestnut St #5,"San Francisco, CA, 94109-1048",Neighborhood: Russian Hill,"2 bd, 1 ba","$999,000 ",2,"$1,874 + $213 (HOA)","$10,840 ","$49,950 ","Top Floor Classic 2br/1ba Edwardian condo in Russian Hill. Tax records show 4 rooms - second bedroom had been used as a formal dining room by prior owner. Traditional period details, hardwood floors, spacious rooms with built-ins. Fabulous Southern facing windows in living room and bedroom. In-unit washer/dryer; lots of closets and extra deeded storage closet in garage. Shared garden. Soft Story Retrofit completed in 2015. HOA fee $425.00 monthly.","Listing provided by Susanne Alexander, Sotheby's International Realty",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324293,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1237-Chestnut-St-5-94109/fcb7b36490cf11827406,,,,,,,,,,,,,,37.8021057,-122.4240269
195 25th Ave #101,"San Francisco, CA, 94121",Neighborhood: Lake Street,"2 bd, 2 ba","$1,049,000 ",2,"$1,968 + $275 (HOA)","$11,382 ","$52,450 ","Just steps away from Sea Cliff, this elegant home occupies an entire 1/2 floor of a classic 1930s elevator building. A large living room w GG bridge views, dining room and renovated modern kitchen are interconnected with arched doorways providing the optimal environment for a social setting. The spacious high-ceiling unit comes with two private bedrooms and two baths including the master bedroom with walk-through closet leading to its luxury bath.  Don't miss the spectacular panoramic views of the GG Bridge and the city from the shared roof deck. Walking distance to China Beach, Baker Beach, parks and playgrounds, with abundant choices for restaurants & shops in the neighborhood.","Listing provided by Brian W Garrett, Reside Network, Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324315,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/195-25th-Ave-101-94121/2852d3190e4dcac97d8b,,,,,,,,,,,,,,37.7859942,-122.48533
192 Coleman St,"San Francisco, CA, 94124",Neighborhood: Hunters Point,"2 bd, 2.5 ba","$1,079,800 ",2,"$2,026 + $289 (HOA)","$11,717 ","$53,990 ","More than a residence, the flexible & spacious interiors are a canvas for creativity & imagination. Exterior accents in cedar & aluminum are designed to weather in the coastal air, creating a visual discourse between past & present. Many of the 2 & 3 bed townhomes feature decks & balconies w/sweeping view of SF & the Bay. Several boast private backyards w/curated landscape design & plenty of space for the mind to wander. This home offers smart home living w/ Nest thermostats & Nest smoke & Carbon Monoxide detectors, Stainless steel Bosch appliances, tiled shower & tub w/striking accent tile in master bathroom, warm Caesarstone kitchen countertops & much more.","Listing provided by Bernadette Troncales Weir, Catalina Realty Investments",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324200,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/192-Coleman-St-94124/fa9ea5f0f989b31c7646,,,,,,,,,,,,,,37.7273661,-122.3688885
156 Guerrero St #101,"San Francisco, CA, 94103",Neighborhood: Mission Dolores,"2 bd, 1.5 ba","$1,100,000 ",2,"$2,063 + $200 (HOA)","$11,936 ","$55,000 ","156 Guerrero is a contemporary, architecturally interesting, top floor townhouse style condo in a supercool location; big bonus, garage parking, and a private roof deck!    The generous living and dining rooms, kitchen and a half bath are on the top floor with high, beamed ceilings and skylights.  On the next level, are two intimate bedrooms (one with accompanying half bath), a large full bath, with in-unit laundry and generous closets.    Convenient to public transit, tech buses, the Mission and the Castro.  You won't want to miss it!","Listing provided by R. Eric Castongia, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324310,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/156-Guerrero-St-101-94103/e7a09e80023373a060bf,,,,,,,,,,,,,,37.768724,-122.424851
111 Monterey Blvd,"San Francisco, CA, 94131",Neighborhood: Glen Park,"2 bd, 2 ba","$1,129,000 ",2,"$2,118 ","$12,251 ","$56,450 ","This great 1940's charmer is located a couple blocks to BART and a block to the 280 on ramp!Showing much pride of ownership there is hardwood through, a wonderful hi-end kitchen with subzero etc,fireplace,great master suite with access to wisteria draped yard. Great views,garage a perfect affordable home!","Listing provided by Jay F Margrey, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324391,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/111-Monterey-Blvd-94131/ea282c4aac20e1bbeef9,,,,,,,,,,,,,,37.7314015,-122.4378595
710 17th Ave,"San Francisco, CA, 94121",Neighborhood: Central Richmond,"2 bd, 1.5 ba","$1,150,000 ",2,"$2,157 ","$12,478 ","$57,500 ","This lovely, light-filled Richmond home boasts a bright living room, elegant formal dining room and a kitchen with stainless steel appliances and ample cabinetry. In the rear of the home are two bedrooms, and a sunroom that leads to a sunny deck overlooking the back yard. Lower level has potential for expansion of living space, french doors with direct access to the yard, 1-car garage and plenty of storage. Close to GG Park, De Young museum, Academy of Sciences, restaurants and public transportation.","Listing provided by Maggie S Visser, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324355,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/710-17th-Ave-94121/affb2e722a3601afadef,,,,,,,,,,,,,,37.774559,-122.475473
701 Minna St #14,"San Francisco, CA, 94103",Neighborhood: South of Market,"2 bd, 2.5 ba","$1,150,000 ",2,"$2,157 + $279 (HOA)","$12,478 ","$57,500 ","This impressive top floor South of Market loft condominium exudes light, volume, and style. Located on the south side of the building, this residence features soaring ceilings and is sun drenched throughout the day. Spanning 3 levels, this home has 2 bedrooms, 2.5 bathrooms, and 1,778 sqft. The main level includes the kitchen with stainless steel appliances, huge open/living dining room with a fireplace, and 2 skylights. The expansive lower master suite level includes a fireplace, an abundance of closets, and en-suite bathroom. The spacious loft bedroom on the top level enjoys ample natural light and has an en-suite bathroom. One car parking, additional storage, and in-unit laundry complete this desirable loft.","Listing provided by Frank A Nolan, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324324,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/701-Minna-St-14-94103/96a79a24d36106b7345a,,,,,,,,,,,,,,37.7767297,-122.4127364
2032 Ellis St,"San Francisco, CA, 94107",Neighborhood: Anza Vista,"2 bd, 2 ba","$1,200,000 ",2,"$2,251 + $125 (HOA)","$13,021 ","$60,000 ","Stylish 2BR/2BA (+ bonus den used as 3rd bedroom) lower flat in two-unit Victorian condo building boasts exquisite period detail and tasteful modern updates. Functional floor plan with 11 ft. ceilings, distinctive Victorian-style corridor, light-filled living room with tall windows and gas fireplace, 2 beautiful bathrooms, and abundant storage nooks and closets throughout. Kitchen forms the heart of the home, with a large center island and sleek finishes, marble counters and tile backsplash. An adjacent dining area with mod wallpaper leads to exclusive-use deck overlooking a landscaped, shared patio garden. Victorian charm along with contemporary updates and a designer's touch create the perfect space for entertaining and time with family.","Listing provided by John R Solaegui, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324322,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2032-Ellis-St-94107/8aa1bf1719ffc9f3451c,,,,,,,,,,,,,,37.78166,-122.439744
88 King St #110,"San Francisco, CA, 94107",Neighborhood: South Beach,"2 bd, 2.5 ba","$1,249,000 ",2,"$2,343 + $488 (HOA)","$13,553 ","$62,450 ","Located at The Towers, this rarely available 2 bd/2.5 bath features two levels and numerous upgrades. Enter the open floor-plan living & dining area and easily access the kitchen with premium appliances & caesarstone counters. Custom 8-foot plank flooring from a retired Kentucky grain mill throughout. Living area features a built-in audio-visual system and 3D television, floor-to-ceiling double thermo-paned windows with electric solar shades, powder room and private patio used as second entrance. Upper level features a loft-like master bedroom, 2 full baths, guest bedroom built-in closets and laundry. 24-hr doorman, outdoor pool/spa, BBQ, gym, 1 car pkg, deeded storage. Close to bars, restaurants, shopping, freeway and transportation.","Listing provided by Rick Kaluza, Compass",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324275,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/88-King-St-110-94107/8f3ca52b79917483d4a3,,,,,,,,,,,,,,37.7806904,-122.3892201
