Address,City_State-Zip ,Neighborhood,Property-type,Bed-bath,Offer-price,Co-owners,Monthly-cost,Tax-savings,Down-payment,Description,Agent,Gallery-url,Success,source_urls,source_Address,source_City-State-Zip,source_Neighborhood,source_Property-type,source_Bed-bath,source_Offer-price,source_Co-owners,source_Monthly-cost,source_Tax-savings,source_Down-payment,source_Description,source_Agent,source_Gallery-url,,lat,lng,image
167 Vienna St,"San Francisco, CA, 94112-2107",Neighborhood: Excelsior,House,"2 bd, 1 ba","$799,000 ",2,"$1,499 ","$8,670 ","$39,950 ","Property sits on a 50 x 100 DOUBLE LOT!!  Total Fixer in a desirable neighborhood. This is a great  opportunity for Contractors, Investors, and Visionaries.  Owner and Tenant Occupied.","Listing provided by James S Wong, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324308,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/167-Vienna-St-94112/c1d8391215af65209f43,,,,,,,,,,,,,,,37.7255619,-122.426221,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/058/456358.jpg?tsp=20170331002119
519 Garfield St,"San Francisco, CA, 94132",Neighborhood: Merced Heights,House,"2 bd, 1 ba","$849,000 ",2,"$1,593 ","$9,212 ","$42,450 ","519 Garfield st offers what everyone searches for in a cosmetic fixer. Solid bones, and a blank slate to put your finishing touches on. 2 Bedrooms and 1 Bath on the main level with ample storage in the vintage wood cabinets in the eat in kitchen. Upgraded dual pane windows, recently changed roof, copper plumbing and wood floors hidden under new carpets make this home a hidden gem to hone to your desire. On the lower level is a bonus workshop room, laundry hook ups with stone dual laundry sink and tall ceilings in the 2 car tandem garage. In the rear of the home a three tiered garden with views of the Pacific Ocean & Marin for garden enthusiasts.","Listing provided by Ben Rojas, Climb Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324362,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/519-Garfield-St-94132/3d7364c4cf010a9dbddf,,,,,,,,,,,,,,,37.719536,-122.4675741,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/094/456394.jpg?tsp=20170401084216
2247 45th Ave,"San Francisco, CA, 94116",Neighborhood: Outer Parkside,House,"2 bd, 1.5 ba","$895,000 ",2,"$1,679 ","$9,711 ","$44,750 ","Outer Parkside. Cozy home with spacious living room, high ceilings fireplace, formal dining room, hardwood floors with inlay.  Kitchen w/ breakfast area and 2 bedrooms 1 bath upstairs.  Downstairs: Bedroom or family room & half bathroom, bonus room, with own entry (City 3R shows permit for downstairs room). 1 car garage w/ lots of room for storage/work area.  Huge, flat back yard. Full of character, period details. Turn into your dream home. Peek-a-boo view of the ocean. Great location, near great schools, churches, transportation and the Judah commercial corridor w/ its shops, restaurants. If you love nature, the zoo, and the beach, this home is for you! You will enjoy leisurely walks in Golden Gate Park and watch the sunsets at the beach.","Listing provided by Francis La Poll, La Poll Realtors",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324267,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/2247-45th-Ave-94116/288959a55ebb1c546f9e,,,,,,,,,,,,,,,37.7446551,-122.5039959,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/026/456126.jpg?tsp=20170330130629
1884 Bush St,"San Francisco, CA, 94109",Neighborhood: Lower Pacific Heights,Condo,"2 bd, 2 ba","$899,000 ",2,"$1,686 + $150 (HOA)","$9,755 ","$44,950 ","Beautiful Victorian flat features spacious 2BD/2BA with a fireplace, including one master suite. Wonderfully kept with sophisticated upgrades. Elegant wide-plank  hardwood floors throughout. Open kitchen fully equipped with state-of-the-art stainless steel appliances, Quartz countertops and backslash, sleek white-themed cabinetry and backslash w/ a spider-burn gas range. Also includes washer and dryer in unit. Two brand new renovated beautiful bathrooms. Great transportation location. Perfectly situated close proximity to the Fillmore Street shopping and dining, Japantown and the Lafayette Park.","Listing provided by Jenny He, Jenny He Realty Associates",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324365,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1884-Bush-St-94109/2ed79b4698ceebfaac4e,,,,,,,,,,,,,,,37.7878096,-122.4283142,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/089/456389.jpg?tsp=20170331155339
619 Haight St,"San Francisco, CA, 94117-3304",Neighborhood: Hayes Valley,Condo,"2 bd, 2 ba","$949,000 ",2,"$1,780 + $150 (HOA)","$10,297 ","$47,450 ","This ground floor home has no windows facing the street so it offers privacy & quiet. Outside your door is the vibrant Lower Haight; just steps to transit, shopping & dining options galore. With a walk score of 96 and a transit score of 100 this location is hard to beat! Inside is an updated 2 level home with an open kitchen/living/dining room as well as 2 spacious bedrooms and a full bath on the main floor. Downstairs you'll find a generous family room or den with closet and en-suite bath. Both bedrooms & the den face south overlooking the beautifully landscaped backyard. This home does not come with parking, but it does enjoy access to the garage for its exclusive-use washer and dryer, and assigned storage area.","Listing provided by Tim J Gullicksen, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324237,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/619-Haight-St-94117/f2d84a8186f7d3e18ea6,,,,,,,,,,,,,,,37.771613,-122.432482,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/069/456169.jpg?tsp=20170330014926
1215 Kirkham St,"San Francisco, CA, 94122",Neighborhood: Inner Sunset,Condo,"2 bd, 1 ba","$949,000 ",2,"$1,780 + $30 (HOA)","$10,297 ","$47,450 ",Amazing views don't miss this opportunity to own in this great location.,"Listing provided by Robin Neydavoud, Edward Sorensen, Broker",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324433,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1215-Kirkham-St-94122/ddf784fa1f89939b15a8,,,,,,,,,,,,,,,37.75972,-122.473904,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/025/456125.jpg?tsp=20170403125507
50 Jerrold Ave #409,"San Francisco, CA, 94124",Neighborhood: Hunters Point,Condo,"2 bd, 2 ba","$980,800 ",2,"$1,840 + $289 (HOA)","$10,642 ","$49,040 ","Move in today! Private balconies & terraces grace select homes. This home offers Smart home living w/ Nest thermostats & Nest smoke & Carbon Monoxide detectors, Stainless steel Bosch appliances including gas range, dishwasher, refrigerator, & range hood, tiled shower & tub w/striking accent tile in master bathroom, Warm Caesarstone kitchen countertops and much more. Great location. A quick ride will lead you to the Third Street corridor and Dogpatch. From there, downtown is just 15 minutes on the T MUNI line","Listing provided by Bernadette Troncales Weir, Catalina Realty Investments",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324199,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/50-Jerrold-Ave-409-94124/1171b56211e0d64c196f,,,,,,,,,,,,,,,37.7277605,-122.3695908,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/032/456232.jpg?tsp=20170328203152
1117 Alabama St #A,"San Francisco, CA, 94110",Neighborhood: Inner Mission,Condo,"2 bd, 1 ba","$998,000 ",2,"$1,872 + $200 (HOA)","$10,829 ","$49,900 ","Entertain friends or bask in the Mission sunshine on the pvt deck of this beautiful remodeled Top Floor Condominium. Offering a graceful blend of period & contemporary finishes, this unit features an open plan living/dining room w/ high ceilings, wood floors and a gorgeous marble fireplace.  The large remodeled kitchen w/ stainless appls & granite counters opens to a breakfast area w/ vaulted ceilings & sliding doors out to the pvt rear deck.  There are two large bedrooms and a contemporary remodeled bathroom.  The large sunny deck has stairs leading to a landscaped shared garden. Other features: keyless entry, in-unit W/D, double paned windows, custom window blinds, one independent parking, great storage. Fantastic & convenient location!!","Listing provided by Carlos D Cabarcos, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324139,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1117-Alabama-St-A-94110/ec718460ae5da718a32c,,,,,,,,,,,,,,,37.753741,-122.410786,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/042/456142.jpg?tsp=20170327135214
20 Meadowbrook Dr,"San Francisco, CA, 94132",Neighborhood: Lake Shore,House,"2 bd, 1 ba","$998,000 ",2,"$1,872 ","$10,829 ","$49,900 ","This home was a model home when Lakeshore Plaza was developed as a deluxe neighborhood - and it is still a city home in a suburban setting! Stern Grove is a block away. The Zoo, Lake Merced, Ocean Beach and FOUR shopping areas are nearby. Gracious rooms throughout with refinished Oak parquet & hardwood floors, lots of light. The living room has a corner,wood burning fireplace, huge new  double-paned, tempered front window. There is both a formal dining room AND a charming breakfast room with built-in cabinetry. Two bedrooms overlook the backyard and there is a vintage split bath w/tub & shower.  Very large room down with finished wood paneling and flooring plus Bradbury & Bradbury wallpaper & upholstered benches. 2 car prkng, huge garage!","Listing provided by Deborah Lopez, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324327,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/20-Meadowbrook-Dr-94132/99a7b047a42042f90911,,,,,,,,,,,,,,,37.7338025,-122.4843943,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/077/456177.jpg?tsp=20170331094526
887 47th Ave,"San Francisco, CA, 94121-3207",Neighborhood: Outer Richmond,House,"2 bd, 1 ba","$998,000 ",2,"$1,872 ","$10,829 ","$49,900 ","Don't miss out on this Marina style home conveniently located near Golden Gate Park, playground, Ocean Beach, school and Safeway shopping. This home features: Living room, formal dining room, updated kitchen with eating area, 1 bedroom, 1 bath and hardwood flooring throughout. Downstairs features: Family room, 2 bedrooms, 1 bath, recess lighting and laminated wood flooring. 1 car parking garage, level backyard with fruit trees....","Listing provided by Michael O Al-Ahwal, Comax Realty, Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324280,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/887-47th-Ave-94121/85cf9b0e2eeba8a2c128,,,,,,,,,,,,,,,37.771768,-122.508035,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/030/456330.jpg?tsp=20170330160155
817 Masonic Ave #817,"San Francisco, CA, 94117",Neighborhood: North Panhandle,Condo,"2 bd, 1 ba","$998,888 ",2,"$1,874 + $90 (HOA)","$10,839 ","$49,944 ","Total Move-in Condition Contemporary Condo. Pride of Ownership! Light & Airy! Newly remodeled gourmet Kitchen w/quartz counters. Welcoming Living Rm, expansive Dining Rm w/fireplace. Spacious Master Bdrm opens to balcony, 2nd Bdrm used as Nursery. Remodeled split Bathroom. Interior laundry rm. Handsome hardwood floors, designer paint colors, beautiful Craftsman Style accents. 3 units share the enclosed rear patio. Large private storage room on first floor. Leased parking space. NOPA location.","Listing provided by David Blewett, Intero Real Estate Services",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324419,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/817-Masonic-Ave-817-94117/97bdd7b6ab75c13b20a5,,,,,,,,,,,,,,,37.7736552,-122.4462855,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/056/456456.jpg?tsp=20170403120116
1237 Chestnut St #5,"San Francisco, CA, 94109-1048",Neighborhood: Russian Hill,Condo,"2 bd, 1 ba","$999,000 ",2,"$1,874 + $213 (HOA)","$10,840 ","$49,950 ","Top Floor Classic 2br/1ba Edwardian condo in Russian Hill. Tax records show 4 rooms - second bedroom had been used as a formal dining room by prior owner. Traditional period details, hardwood floors, spacious rooms with built-ins. Fabulous Southern facing windows in living room and bedroom. In-unit washer/dryer; lots of closets and extra deeded storage closet in garage. Shared garden. Soft Story Retrofit completed in 2015. HOA fee $425.00 monthly.","Listing provided by Susanne Alexander, Sotheby's International Realty",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324293,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/1237-Chestnut-St-5-94109/fcb7b36490cf11827406,,,,,,,,,,,,,,,37.8021057,-122.4240269,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/030/456230.jpg?tsp=20170331172026
195 25th Ave #101,"San Francisco, CA, 94121",Neighborhood: Lake Street,Condo,"2 bd, 2 ba","$1,049,000 ",2,"$1,968 + $275 (HOA)","$11,382 ","$52,450 ","Just steps away from Sea Cliff, this elegant home occupies an entire 1/2 floor of a classic 1930s elevator building. A large living room w GG bridge views, dining room and renovated modern kitchen are interconnected with arched doorways providing the optimal environment for a social setting. The spacious high-ceiling unit comes with two private bedrooms and two baths including the master bedroom with walk-through closet leading to its luxury bath.  Don't miss the spectacular panoramic views of the GG Bridge and the city from the shared roof deck. Walking distance to China Beach, Baker Beach, parks and playgrounds, with abundant choices for restaurants & shops in the neighborhood.","Listing provided by Brian W Garrett, Reside Network, Inc.",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324315,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/195-25th-Ave-101-94121/2852d3190e4dcac97d8b,,,,,,,,,,,,,,,37.7859942,-122.48533,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/040/456240.jpg?tsp=20170331075550
192 Coleman St,"San Francisco, CA, 94124",Neighborhood: Hunters Point,Condo,"2 bd, 2.5 ba","$1,079,800 ",2,"$2,026 + $289 (HOA)","$11,717 ","$53,990 ","More than a residence, the flexible & spacious interiors are a canvas for creativity & imagination. Exterior accents in cedar & aluminum are designed to weather in the coastal air, creating a visual discourse between past & present. Many of the 2 & 3 bed townhomes feature decks & balconies w/sweeping view of SF & the Bay. Several boast private backyards w/curated landscape design & plenty of space for the mind to wander. This home offers smart home living w/ Nest thermostats & Nest smoke & Carbon Monoxide detectors, Stainless steel Bosch appliances, tiled shower & tub w/striking accent tile in master bathroom, warm Caesarstone kitchen countertops & much more.","Listing provided by Bernadette Troncales Weir, Catalina Realty Investments",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324200,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/192-Coleman-St-94124/fa9ea5f0f989b31c7646,,,,,,,,,,,,,,,37.7273661,-122.3688885,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/033/456233.jpg?tsp=20170328205131
156 Guerrero St #101,"San Francisco, CA, 94103",Neighborhood: Mission Dolores,Condo,"2 bd, 1.5 ba","$1,100,000 ",2,"$2,063 + $200 (HOA)","$11,936 ","$55,000 ","156 Guerrero is a contemporary, architecturally interesting, top floor townhouse style condo in a supercool location; big bonus, garage parking, and a private roof deck!    The generous living and dining rooms, kitchen and a half bath are on the top floor with high, beamed ceilings and skylights.  On the next level, are two intimate bedrooms (one with accompanying half bath), a large full bath, with in-unit laundry and generous closets.    Convenient to public transit, tech buses, the Mission and the Castro.  You won't want to miss it!","Listing provided by R. Eric Castongia, Zephyr Real Estate",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324310,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/156-Guerrero-St-101-94103/e7a09e80023373a060bf,,,,,,,,,,,,,,,37.768724,-122.424851,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/052/456352.jpg?tsp=20170331003448
111 Monterey Blvd,"San Francisco, CA, 94131",Neighborhood: Glen Park,House,"2 bd, 2 ba","$1,129,000 ",2,"$2,118 ","$12,251 ","$56,450 ","This great 1940's charmer is located a couple blocks to BART and a block to the 280 on ramp!Showing much pride of ownership there is hardwood through, a wonderful hi-end kitchen with subzero etc,fireplace,great master suite with access to wisteria draped yard. Great views,garage a perfect affordable home!","Listing provided by Jay F Margrey, Vanguard Properties",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324391,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/111-Monterey-Blvd-94131/ea282c4aac20e1bbeef9,,,,,,,,,,,,,,,37.7314015,-122.4378595,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/009/456209.jpg?tsp=20170404095343
710 17th Ave,"San Francisco, CA, 94121",Neighborhood: Central Richmond,House,"2 bd, 1.5 ba","$1,150,000 ",2,"$2,157 ","$12,478 ","$57,500 ","This lovely, light-filled Richmond home boasts a bright living room, elegant formal dining room and a kitchen with stainless steel appliances and ample cabinetry. In the rear of the home are two bedrooms, and a sunroom that leads to a sunny deck overlooking the back yard. Lower level has potential for expansion of living space, french doors with direct access to the yard, 1-car garage and plenty of storage. Close to GG Park, De Young museum, Academy of Sciences, restaurants and public transportation.","Listing provided by Maggie S Visser, Paragon Real Estate Group",http://mlax.rapmls.com/Gallery.aspx?mls=SFAR&listingRid=324355,Succeeded,https://app.realtaasa.com/homes/property/CA/San-Francisco/710-17th-Ave-94121/affb2e722a3601afadef,,,,,,,,,,,,,,,37.774559,-122.475473,http://mediall.rapmls.com/sfarmls/listingpics/bigphoto/085/456385.jpg?tsp=20170331132625
